landid,bezeichnung,generierter_link
1,Aegypten,https://www.auswaertiges-amt.de/de/service/laender/aegypten-node/212622
2,Aequatorialguinea,https://www.auswaertiges-amt.de/de/service/laender/aequatorialguinea-node/226768
3,Aethiopien,https://www.auswaertiges-amt.de/de/service/laender/aethiopien-node/209504
4,Afghanistan,https://www.auswaertiges-amt.de/de/service/laender/afghanistan-node/204692
5,Ägypten,https://www.auswaertiges-amt.de/de/service/laender/aegypten-node/212622
6,Albanien,https://www.auswaertiges-amt.de/de/service/laender/albanien-node/216248
7,Algerien,https://www.auswaertiges-amt.de/de/service/laender/algerien-node/219044
8,Andorra,https://www.auswaertiges-amt.de/de/service/laender/andorra-node/224898
9,Angola,https://www.auswaertiges-amt.de/de/service/laender/angola-node/208118
10,Antigua und Barbuda,https://www.auswaertiges-amt.de/de/service/laender/antigua-und-barbuda-node/227042
11,Äquatorialguinea,https://www.auswaertiges-amt.de/de/service/laender/aequatorialguinea-node/226768
12,Argentinien,https://www.auswaertiges-amt.de/de/service/laender/argentinien-node/201326
13,Armenien,https://www.auswaertiges-amt.de/de/service/laender/armenien-node/201872
14,Aserbaidschan,https://www.auswaertiges-amt.de/de/service/laender/aserbaidschan-node/201888
15,Äthiopien,https://www.auswaertiges-amt.de/de/service/laender/aethiopien-node/209504
16,Australien,https://www.auswaertiges-amt.de/de/service/laender/australien-node/213920
17,Bahamas,https://www.auswaertiges-amt.de/de/service/laender/bahamas-node/220268
18,Bahrain,https://www.auswaertiges-amt.de/de/service/laender/bahrain-node/204112
19,Bangladesch,https://www.auswaertiges-amt.de/de/service/laender/bangladesch-node/206292
20,Barbados,https://www.auswaertiges-amt.de/de/service/laender/barbados-node/226424
21,Barbuda; Antigua und,https://www.auswaertiges-amt.de/de/service/laender/barbuda-antigua-und-node/227042
22,Belarus,https://www.auswaertiges-amt.de/de/service/laender/belarus-node/201904
23,Belgien,https://www.auswaertiges-amt.de/de/service/laender/belgien-node/200382
24,Belize,https://www.auswaertiges-amt.de/de/service/laender/belize-node/220284
25,Benin,https://www.auswaertiges-amt.de/de/service/laender/benin-node/208984
26,Bhutan,https://www.auswaertiges-amt.de/de/service/laender/bhutan-node/226702
27,Bolivien,https://www.auswaertiges-amt.de/de/service/laender/bolivien-node/213428
28,Bosnien und Herzegowina,https://www.auswaertiges-amt.de/de/service/laender/bosnien-und-herzegowina-node/207694
29,Botsuana,https://www.auswaertiges-amt.de/de/service/laender/botsuana-node/219522
30,Brasilien,https://www.auswaertiges-amt.de/de/service/laender/brasilien-node/201092
31,Brunei Darussalam,https://www.auswaertiges-amt.de/de/service/laender/brunei-darussalam-node/224526
32,Bulgarien,https://www.auswaertiges-amt.de/de/service/laender/bulgarien-node/211834
33,Burkina Faso,https://www.auswaertiges-amt.de/de/service/laender/burkina-faso-node/212336
34,Burundi,https://www.auswaertiges-amt.de/de/service/laender/burundi-node/222614
35,Cabo Verde,https://www.auswaertiges-amt.de/de/service/laender/cabo-verde-node/208824
36,Chile,https://www.auswaertiges-amt.de/de/service/laender/chile-node/201230
37,China,https://www.auswaertiges-amt.de/de/service/laender/china-node/200466
38,Cookinseln,https://www.auswaertiges-amt.de/de/service/laender/cookinseln-node/226552
39,Costa Rica,https://www.auswaertiges-amt.de/de/service/laender/costa-rica-node/224816
40,Côte d'Ivoire,https://www.auswaertiges-amt.de/de/service/laender/cote-divoire-node/209460
41,Daenemark,https://www.auswaertiges-amt.de/de/service/laender/daenemark-node/211724
42,Dänemark,https://www.auswaertiges-amt.de/de/service/laender/daenemark-node/211724
43,Darussalam; Brunei,https://www.auswaertiges-amt.de/de/service/laender/darussalam-brunei-node/224526
44,Demokratische Republik Kongo,https://www.auswaertiges-amt.de/de/service/laender/demokratische-republik-kongo-node/203202
45,Demokratische Volksrepublik Korea,https://www.auswaertiges-amt.de/de/service/laender/demokratische-volksrepublik-korea-node/216104
46,Djibouti,https://www.auswaertiges-amt.de/de/service/laender/djibouti-node/212168
47,Dominica,https://www.auswaertiges-amt.de/de/service/laender/dominica-node/220300
48,Dominikanische Republik,https://www.auswaertiges-amt.de/de/service/laender/dominikanische-republik-node/206146
49,Dschibuti,https://www.auswaertiges-amt.de/de/service/laender/dschibuti-node/212168
50,Ecuador,https://www.auswaertiges-amt.de/de/service/laender/ecuador-node/223232
51,El Salvador,https://www.auswaertiges-amt.de/de/service/laender/el-salvador-node/221864
52,Eritrea,https://www.auswaertiges-amt.de/de/service/laender/eritrea-node/226176
53,Estland,https://www.auswaertiges-amt.de/de/service/laender/estland-node/200754
54,Eswatini,https://www.auswaertiges-amt.de/de/service/laender/eswatini-node/226240
55,Fidschi,https://www.auswaertiges-amt.de/de/service/laender/fidschi-node/226626
56,Finnland,https://www.auswaertiges-amt.de/de/service/laender/finnland-node/211624
57,Frankreich,https://www.auswaertiges-amt.de/de/service/laender/frankreich-node/209524
58,Gabun,https://www.auswaertiges-amt.de/de/service/laender/gabun-node/226324
59,Gambia,https://www.auswaertiges-amt.de/de/service/laender/gambia-node/213624
60,Georgien,https://www.auswaertiges-amt.de/de/service/laender/georgien-node/201918
61,Ghana,https://www.auswaertiges-amt.de/de/service/laender/ghana-node/203372
62,Grenada,https://www.auswaertiges-amt.de/de/service/laender/grenada-node/220316
63,Grenadinen; St. Vincent und die,https://www.auswaertiges-amt.de/de/service/laender/grenadinen-st-vincent-und-die-node/226268
64,Griechenland,https://www.auswaertiges-amt.de/de/service/laender/griechenland-node/211534
65,Guatemala,https://www.auswaertiges-amt.de/de/service/laender/guatemala-node/221882
66,Guinea,https://www.auswaertiges-amt.de/de/service/laender/guinea-node/206098
67,Guinea-Bissau,https://www.auswaertiges-amt.de/de/service/laender/guinea-bissau-node/220332
68,Guyana,https://www.auswaertiges-amt.de/de/service/laender/guyana-node/220348
69,Haiti,https://www.auswaertiges-amt.de/de/service/laender/haiti-node/205048
70,Heiliger Stuhl / Vatikan,https://www.auswaertiges-amt.de/de/service/laender/heiliger-stuhl-vatikan-node/226808
71,Herzegowina; Bosnien und,https://www.auswaertiges-amt.de/de/service/laender/herzegowina-bosnien-und-node/207694
72,Honduras,https://www.auswaertiges-amt.de/de/service/laender/honduras-node/221078
73,Hongkong,https://www.auswaertiges-amt.de/de/service/laender/hongkong-node/200854
74,Hongkong*,https://www.auswaertiges-amt.de/de/service/laender/hongkong-node/200854
75,Indien,https://www.auswaertiges-amt.de/de/service/laender/indien-node/205998
76,Indonesien,https://www.auswaertiges-amt.de/de/service/laender/indonesien-node/212396
77,Irak,https://www.auswaertiges-amt.de/de/service/laender/irak-node/202738
78,Iran,https://www.auswaertiges-amt.de/de/service/laender/iran-node/202396
79,Irland,https://www.auswaertiges-amt.de/de/service/laender/irland-node/211460
80,Island,https://www.auswaertiges-amt.de/de/service/laender/island-node/223400
81,Israel,https://www.auswaertiges-amt.de/de/service/laender/israel-node/203814
82,Italien,https://www.auswaertiges-amt.de/de/service/laender/italien-node/211322
83,Jamaika,https://www.auswaertiges-amt.de/de/service/laender/jamaika-node/226490
84,Japan,https://www.auswaertiges-amt.de/de/service/laender/japan-node/213032
85,Jemen,https://www.auswaertiges-amt.de/de/service/laender/jemen-node/202260
86,Jordanien,https://www.auswaertiges-amt.de/de/service/laender/jordanien-node/218008
87,Kambodscha,https://www.auswaertiges-amt.de/de/service/laender/kambodscha-node/220008
88,Kamerun,https://www.auswaertiges-amt.de/de/service/laender/kamerun-node/208874
89,Kanada,https://www.auswaertiges-amt.de/de/service/laender/kanada-node/204874
90,Kasachstan,https://www.auswaertiges-amt.de/de/service/laender/kasachstan-node/206342
91,Katar,https://www.auswaertiges-amt.de/de/service/laender/katar-node/202280
92,Kenia,https://www.auswaertiges-amt.de/de/service/laender/kenia-node/208058
93,Kirgisistan,https://www.auswaertiges-amt.de/de/service/laender/kirgisistan-node/206738
94,Kiribati,https://www.auswaertiges-amt.de/de/service/laender/kiribati-node/220364
95,Kolumbien,https://www.auswaertiges-amt.de/de/service/laender/kolumbien-node/201516
96,Komoren,https://www.auswaertiges-amt.de/de/service/laender/komoren-node/226660
97,Korea,https://www.auswaertiges-amt.de/de/service/laender/korea-node/216104
98,Korea,https://www.auswaertiges-amt.de/de/service/laender/korea-node/216132
99,Kosovo,https://www.auswaertiges-amt.de/de/service/laender/kosovo-node/207442
100,Kroatien,https://www.auswaertiges-amt.de/de/service/laender/kroatien-node/210072
101,Kuba,https://www.auswaertiges-amt.de/de/service/laender/kuba-node/212208
102,Kuwait,https://www.auswaertiges-amt.de/de/service/laender/kuwait-node/204130
103,Laos,https://www.auswaertiges-amt.de/de/service/laender/laos-node/201048
